Last,Address,Address2,Address3,City,State,Zip,Country,Phone,Fax,Email,Account No.,Store,Work,Work Phone,Promo,Contact,Salesperson,Sales Last Year,Sales This Year,First Buy,Last Buy,Bill To Account No.,Tax Status,Tax ID,Alt Tax Rate,Belongs To
Penobscot Job Corps Center,1375 Union Street,,,Bangor,ME,4401,,(207)561-8566,,pullyard.cindy@jobcorps.org,70023,2,,,,Cindy Pullyard,House Account,0,6691.25,1/5/2021,2/17/2021,,Exempt,JOB CORP,,
Philadelphia Job Corps Center,Attn: PO# PR 2988,2810 South 20th Street,Bldg #12,Philadelphia,PA,19145,,(267)386-2849,(215)334-3672,gordon.saran@jobcorps.org,33292,2,,,,Saran Gordon,House Account,21991.68,4231.23,4/14/2009,6/1/2021,,Exempt,FEDERAL,,
Philadelphia Job Corps Life Science Inst,2810 South 20th Street,Bldg. 12,PR 727,Philadelphia,PA,19145,,(267)386-2849,(215)334-3672,gordon.saran@jobcorps.org,49306,2,,,,Saran Gordon,,3874.94,0,8/11/2015,1/20/2020,,Exempt,,,
Pinellas County Job Corps Center,500 22nd Street South,,,St. Petersburg,FL,6516,33712,(727) 551-2939,,richardson.angelia@jobcorps.org,14289,3,,,,Angelia Richardson,Laurie Roloff,0,0,,,,Exempt,JOB CORP,,
Pittsburgh Job Corps,7175 Highland Drive,,,Pittsburgh,PA,15206,,(412)214-5113,,wolf.kenneth@jobcorps.org,65903,2,,,,Kenneth Wolf,Laurie Roloff,0,0,,,,Exempt,JOB CORP,,
Red Rock Job Corps Center,Route 487 North,,,Lopez,PA,18628,,(570)477-0203,,weise.kim@jobcorps.org,32685,2,,,,Kim Weise,House Account,12198.19,0,12/18/2008,10/26/2020,,Exempt,JOB CORP,,
San Jose Job Corps Center,Attn: Thiem Tien,3485 East Hills Drive,,San Jose,CA,95127-2920,,,,,30014,2,,,,,Christie,0,0,12/10/2007,12/18/2018,,Exempt,CA STATE,,
Shriver Job Corps Center,270 Jackson Road,,,Devens,MA,1434,,(978)784-2601,(978)784-2711,therrien.robin@jobcorps.org,49205,2,,,,Receiving Department,Christie,25744.52,3642.75,1/18/2017,4/19/2021,,Exempt,OUT OF STATE,,
Sierra Nevada Job Corps Center,14175 Mt Charleston St,,,Reno,NV,89506,,(775)789-0817,(775)789-1094,williams.tom@jobcorps.org,33013,2,,,,,Christie,34282.73,7214.4,3/18/2009,6/22/2021,,Exempt,FEDERAL,,
South Bronx Job Corps Center,1771 Andrews Avenue,,,Bronx,NY,10453,,(718)294-7530,,vasquez.michelle@jobcorps.org,60591,2,,,,,Christie,34352.43,1229.1,4/21/2018,7/21/2021,,Exempt,JOB CORP,,
Taft Correctional Inst,1500 Cadet Rd,,,Taft,CA,93268,,(661)765-3004,,danielle.carlile@mtctrains.com,65642,2,,,,Danielle Carlile,House Account,0,0,,,,Exempt,JOB CORP,,
Taft Correctional Institution,PO Box 7000,,,Taft,CA,93268,,(661)763-2510,(661)765-3002,Sonia.manuz@mtctrains.com,33918,2,,,,Sonia Manuz,House Account,0,0,9/9/2009,11/29/2019,,Exempt,FEDERAL,,
Taft Correctional Institution - Medical,500 North Market Place Dr.,,,Centerville,UT,84014,,(661)763-2510,(661)765-3010,lauri.watts@mtcmedical.com,49269,2,,,,Lauri Watts,House Account,0,0,8/3/2015,1/12/2018,,Exempt,FEDERAL,,
Texas Civil Commitment Center,2600 South Sunset Avenue,,,Littlefield,TX,79339,,(806)485-8100,,,64616,2,,,,,Christie,0,0,,,,,,TX Lamb County - 8.25%,
Tongue Point Job Corps Center,Sarah Hammond,37573 Old Highway 30,,Astoria,OR,97103,,(503)325-2131,(503)325-5375,Yelton.Barbara@jobcorps.org,33009,2,,,,Sarah,House Account,45442.61,20293.86,3/30/2009,7/8/2021,,Exempt,FEDERAL,,
Treasure Island Job Corps,Attention: Finance,351 H Avenue - Harvey Milk Building,,San Fransisco,CA,94130,,(415)277-2414,(415)705-1839,TIFinance@adamsaai.com,60364,2,,,,,Christie,0,0,1/30/2018,5/21/2019,,Exempt,JOB CORP,,
Turner Job Corps Center,Attn: Accounting,2000 Schilling Avenue,,Albany,GA,31705-1524,,(229)431-1840,,marshall.sherryey@jobcorps.org,30015,2,,,,Sherrye Marshall,Christie,137587.14,36967.49,12/10/2007,7/2/2021,,Exempt,GA STATE,,
Westover Job Corps Center,103 Johnson Road,Accounts Payable Dept,,Chicopee,MA,1022,,(413)593-5731,(413)593-4091,lepage.susan@jobcorps.org,33016,2,,,,Sue X 4015,Christie,37151.05,5916.41,3/18/2009,7/22/2021,,Exempt,FEDERAL,,
Willacy County Detention - Medical,500 North Market Place Dr.,,,Centerville,UT,84014,,(956)689-5099,,Lisa.Villegas@mtcmedical.com,50380,2,,,,Lisa Villegas,House Account,0,0,,,50375-2,Exempt,FEDERAL,,
Willacy County Regional Detention Fac.,1601 Buffalo Drive,,,Raymondville,TX,78580,,(956)689-5099,(956)689-5075,Nelda.Lozano@mtctrains.com,34724,2,,,,,House Account,20677.5,0,12/8/2009,4/29/2020,,Exempt,,,
Wilmington Job Corps Center,9 Vandever Ave,,,Wilmington,DE,19802,,(302)230-2554,(302)575-1713,buchanan.georgina@jobcorps.org,33470,2,,,,Georgina Buchanan,House Account,7714.82,1116.7,6/4/2009,7/21/2021,,Exempt,FEDERAL,,
Wind River Job Corps Center,Attn: Finance,4200 Airport Road,,Riverton,WY,82501,,(307)857-9694,,christian.dorinda@jobcorps.org,48877,2,,,,Dorinda Christian,House Account,8412.43,5253.04,6/1/2015,7/8/2021,,Exempt,FEDERAL,,
Woodland Job Corp Center,Lakisha Williams,3300 Fort Meade Rd,,Laurel,MD,20724,,(301)362-4426,,,62524,2,,,,,House Account,0,0,10/3/2018,10/9/2018,,Exempt,,,
Woodstock Job Corps Center,1900 Old Ct Road,,,Woodstock,MD,21163,,(410)461-1100,,Robinson.Kimberly@jobcorps.org,60503,2,,,,Kimberly Robinson,Christie,0,2410.16,3/31/2018,3/31/2021,,Exempt,,,
"A & A Sales Associates, LLC",,1715 Kumry Rd,,Quakertown,PA,18951,,(215)852-9651,,kjdyer@ptd.net,72527,2,,,,,House Account,0,0,,,,,,PA - Clothing Exempt,
"A & M Graphics, Inc",202 Grant Avenue,,,Auburn,NY,13021,USA,(315)282-7184,,matt@aandmgraphics.net,70627,2,,,,Mathew Ferguson,House Account,0,0,,,,Exempt,TF-2542581 01,NYS Auburn,
"A To Z Advertising, Inc",,2593 Highway 51,,Nesbit,MS,38651,,(901)367-4844,,Lisa@a2zgals.com,69177,2,,,,Lisa Fox,House Account,122.08,0,10/14/2020,10/14/2020,,Exempt,MS,,
"Accurate Wire, Inc",8 Baldwin Dr,,,Brandford,CT,6405,USA,(203)488-5956,,k.nolan@accuratewire.net,58028,2,,,,Kim Nolan,Krista,1206.14,0,7/20/2017,11/13/2020,,,,,
"Acies Group, LLC",222 Passaic Ave.,,,Fairfield,NJ,7004,,(973)882-8444,,www.aciesgroup.net,51079,2,,,,Barbara Dudycz,Christie,0,0,,,,Exempt,OUT OF STATE,,
Adelphi Partners LLC,Atti Jean Marie,8 Paddocks Circle,,Saratoga Springs,NY,12866,,(516)313-4354,,jmphilippou@banyannyc.com,57721,2,,,,,Steve Baruch,0,0,5/23/2017,8/6/2019,,,,NYS Saratoga Springs,
Adult Education Center,,580 Ella Grasso Blvd,,New  Haven,CT,6519,,(203)492-0213,,LIZ.GAMBARDELLA@new-haven.k12.ct.us,59185,2,,,,,National - House,0,0,9/20/2017,4/30/2018,,Exempt,,,
Advanced Dentistry,Attn: Elana Celliers,435 Highland Ave,Suite 210,Cheshire,CT,6410,,(203)272-7271,,elanacdmd@gmail.com,71537,2,,,,Elana Celliers,Krista,0,1067.16,5/4/2021,5/26/2021,,Exempt,,,
Advanced Printing Inc,Attn: Tyler Lewin,6003 Atlantic Dr,,Cheyenne,WY,82001,,(307)287-2383,,deblewin@msn.com,72658,2,,,,Tyler Lewin,Robert Cruz,0,0,,,,Exempt,ON FILE_WY,,
Affiliated Foot And Ankle Surgeons,Attn: Maria Chamberlain,508 Blake Street,,New Haven,CT,6515,,(203)397-0624,,maria@ctfootandanklesurgery.com,2602,3,,,,,House Account,364.68,0,2/24/2016,1/4/2021,45117-2,,,,
"Akima Global Services, LLC",,13873 Park Center Road,,Herndon,VA,20171,,(305)207-2043,,Elyzabeth.Vasconcellos@akimaglobal.com,58865,2,,,,,Christie,0,0,8/25/2017,2/25/2018,,Exempt,OUT OF STATE,,
Alaska Serigraphics,1711 Abbott Rd,,,Anchorage,AK,99507,,(907)561-2000,,drichey@akserigraphics.com,72652,2,,,,,Sherhonda F,0,0,,,,Exempt,EXEMPT ON FILE,,
American Crane & Equipment,531 Old Swede Road,,,Douglassville,PA,19518,,,,Mselfinger@americancrane.com,68270,2,,,,Melissa Selfinger,Christie,17867.28,0,7/9/2020,12/2/2020,,Exempt,EXEMPT PA (72P.7204),,
American Custom Tees,,,,,,,,,,,13810,2,,,,,,0,0,,,,,,,
American Home Contractors,603 7th Street,,,Laurel,MD,20707,,(301)209-7000,(410)519-9000,,51080,2,,,,Lauren Carton,Christie,0,0,,,,Exempt,OUT OF STATE,,
American School For The Deaf,139,North Main St.,,West Hartford,CT,6107,,(203)233-8249,,,13,3,,,,Sam Malloy,,0,0,,,,,,,
Amity Public School System,Finance Office,25 Newton Road,,Woodbridge,CT,6525,,(203)397-4817,,Tracy.Daigle@reg5.k12.ct.us,28697,2,,,,Tracy Daigle,Krista,46600.67,6071.8,7/18/2007,5/11/2021,,Exempt,SCHOOLDISTRICT,,
Amodio Moving & Storage,1 Hartford Sq,,,New Britain,CT,6051,,(860)223-2725,,,14,3,,,,Lou Amodio,,0,0,,,,,,,
"Ampersand Chowchilla Biomass, LLC",16457 Ave 24 1/2,,,Chowchilla,CA,93610,,,,,68680,2,,,,,Christie,0,0,,,,,,CA Madera County,
Angelina's Resteraunt,,,,Northford,CT,,,,,,16009,2,,,,Heidi Ceniccola,,0,0,,,,,,,
Anne Arundel Co Pub Sch Food & Nutrition,2666 Riva Rd,Suite 100,,Annapolis,MD,21401,,(410)222-5900,,,60141,2,,,,,National - House,0,0,12/20/2017,10/29/2018,,Exempt,,,
Anthem Blue Cross,Attn:Tish Salas,2121 N. California Blvd,Suite 700,Walnut Creek,CA,94596,,(916)704-9203,,tishian.salas@Anthem.com,67556,2,,,,,Christie,34879.58,0,1/22/2020,12/31/2020,,,,CA Contra Costa CO.,
Anthony's Of Guilford,2392 Boston Post Rd.,,,Guilford,CT,6437,,(203)453-4121,,,2543,1,,,,Grace Malone,,0,0,,,,,,,
Antonio Carmine's,1500 Whalley Ave,,,New Haven,CT,6515,,(203)389-2805,(203)389-1071,www.carminestuscangrill.com,18724,2,,,,,,0,0,,,,,,,
Arcadia Management Inc,Attn: Lisa Stengel,1515 Veterans Memorial Highway,Suite 340,Islandia,NY,11749,USA,,,lstengel@thearborsliving.com,43550,2,,,,Lisa Stengel,Steve Baruch,0,0,1/31/2013,1/21/2019,,,,NYS Suffolk County - Both,
"Aries Aerospace, LLC",,1800 SW 34th Street,Suite 103,Fort Lauderdale,FL,33315,,(754)281-8879,,Sophia@ariesaerospace.com,62745,2,,,,,National - House,0,0,11/13/2018,11/30/2018,,,,,
Armory Square Cafe,58 Broad Street,,,Milford,CT,6460,,(203)876-9988,,,2545,1,,(203)876-9918,,Terry Noyes,,0,0,,,,,,,
"Armstrong Power, LLC",2313 State Route 156,,,Shelocta,PA,15774,,(724)354-5301,,brent.yatman@armstrongpowerllc.com,68083,2,,,,,Christie,876.23,0,4/20/2020,5/28/2020,,,,PA General,
Arrow Prescription Center,,,,Orange,,,,(000)795-3968,,,13434,2,,,,Martha Fawcett,House Account,0,0,,,,,,,
Arrow Promotional,6 West 20th Street,3rd Floor,,New York,NY,10011,,(212)684-6400,,david@arrowpromotional.com,71394,2,,,,,Robert Cruz,0,0,,,,Exempt,ON FILE,NYS New York City,
Aspen Skiing Company,Maria E. Hidalgo,P.O. Box 3203,,Aspen,CO,81612,,(970)300-7035,,meh_30@hotmail.com,1652,3,,,,,,0,0,,,45117-2,Exempt,CO,,
Associated Aircraft Group Inc,32 Griffith Way,,,Wappinger Falls,NY,12590,USA,(845)463-6500,,jfagan@flyaag.com,43787,2,,,,John Fagan,National - House,0,0,3/19/2013,5/5/2018,,,,NYS Dutchess County,
Atlantic City Electric,Attn: Mike Audette,401 Eagle Run Rd,,Newark,DE,19702,,,,,72636,2,,,,,National - House,0,2895,7/13/2021,7/13/2021,,Exempt,,,
"Aurora Generation, LLC",2909 N. Eola Road,,,Aurora,IL,60502,,(630)820-9634,(630)820-9865,llegge@aurorageneration.com,68243,2,,,,,Christie,558.63,0,6/9/2020,6/9/2020,,Exempt,OUT OF STATE,,
Autotote Enterprise Inc,600 Long Wharf Drive,,,New Haven,CT,6511,,(203)946-3100,,,29,3,,,,Dave Weldon,,0,0,,,,,,,
B. F. Goodrich,3360 Gilchrist Rd,,,Mogadore,OH,44260,,,,,7940,2,,,,,,0,0,,,,,,,
"B. Green Landscape Group, LLC",175 Forest Glen Dr,,,Waleska,GA,30183,,(404)931-4946,,bgreenlandscape@yahoo.com,72696,2,,,,Patricia Green,Christie,0,0,,,,,,GA Cobb County - 6%,
Bamko Merch Inc,3106 32nd Street,,,Vernon,BC,V1T5M5,Canada,(310)470-5859,,ap@bamko.net,70706,2,,,,Mayank Srivastava,House Account,0,2907,1/6/2021,1/6/2021,,Exempt,ONFILE,,
Bankers Advertising,,2800 Highway 6 East,,Iowa City,IA,52240,,(319)354-1020,,pmoore@bankersadvertising.com,69360,2,,,,Paula Moore,House Account,0,0,,,,Exempt,,,
BCPS Food & Nutrition Office 002,Baltimore County Public Schools,"9610 Pulaski Park Dr, # 219",,Baltimore,MD,21220,,(410)887-7855,,drude@bcps.org,63274,2,,,,"Rude, Diane E.",House Account,728.52,0,2/11/2019,10/19/2020,,Exempt,SCHOOL DISTRIC,,
Bear Paw Custom Embroidery,,213 South Canyon Street,,Carlsbad,NM,88220,,(575)234-2614,(575)234-2617,bearpawnm@gmail.com,69405,2,,,,Wendy Boswell,House Account,1779.54,0,10/19/2020,10/19/2020,,Exempt,NM B-3123760-02-0004,,
Belleville High School,102 Passaic Avenue,,,Belleville,NJ,7109,,(973)450-3500,,george.droste@belleville.k12.nj.us,57630,2,,,,Ext: 1160,,0,0,8/1/2019,8/1/2019,44498-2,Exempt,,,
Bellissimo Restaurant,625 Chase Avenue,,,Waterbury,CT,6704,,(203)754-3898,,,2546,1,,,,Andrew Candido,,0,0,,,,,,,
Berkshire School,Attn: Janet Bouteiller,245 North Undermountain Road,,Sheffield,MA,1257,,(413)229-1336,(413)229-1235,jmalarney@berkshireschool.org,13822,2,JANET -  A/P 413-229-1333,,,John Malarney,Krista,0,0,6/6/2002,5/31/2018,,Exempt,MASS.,,
Beth Chana Academy,261 Derby Ave,,,Orange,CT,6477,,(203)687-0330,,bLUMA.HECHT@SCHACADEMY.ORG,36596,2,,,,Bluma Hecht,House Account,527.19,0,10/6/2010,10/2/2020,,Exempt,E9229,,
Bethel A.M.E Church,Attn: David J Daviels,217 S. Washington Street,,Albany,GA,31707,,(229)886-6193,,djdan13@yahoo.com,69948,2,,,,David J Daviels,House Account,778.99,0,11/13/2020,11/13/2020,,Exempt,CHURCH,,
Big B's Glove and Safety Wear,370 Market St,,,Lemoyne,PA,17043,,(717)756-8556,,bryonw640@comcast.net,68211,2,,,,Bryon Walters,,0,0,,,,,,,
"BioSpectra, Inc",,100 Majestic Way,,Bangor,PA,18013,,(610)599-3400,,,70040,2,,,,,Christie,3593.7,1451.46,11/13/2020,1/26/2021,,,,,
Blue Line Sports,P.o. Box 1201,,,Darien,CT,6820,,(000)656-0323,,,2648,2,,,,Marco,,0,0,,,,,,,
BML Public Relations,25B Vreeland Road,Suite 215,,Florham Park,NJ,7932,,(973)337-6395,,,66144,2,,,,Brian Lowe,Christie,0,0,10/17/2019,10/17/2019,,Exempt,,,
B'nai Torah Nursery,5700 Main St,,,Trumbull,CT,6611,,(203)268-0227,,,365,2,,,,Joan Watnick,,0,0,5/2/1997,5/17/2018,,Exempt,,,
Board Of Education - City Of Buffalo,Accounts Payable,65 Niagara Sq - Room 818,,Buffalo,NY,14202,,(716)816-3683,,invoices@sp.buffaloschools.org,62096,2,,,,,National - House,0,0,9/6/2018,10/25/2019,,Exempt,SCHOOL DISTRICT,,
Bonati Institute,7315 Hudson Ave,,,Hudson,FL,34667,,(727)868-9563,,,23614,2,,,,Sandy Fazzi,,0,0,,,,,,,
Borger Uniform,265 Concord Dr.,,,Pottstown,PA,19464,,(610)213-7041,,ribblb@aol.com,65073,2,,,,Richard Borger,Christie,6980,6980,4/24/2019,4/6/2021,,Exempt,OUT OF STATE,,
Bradshaw State Jail,3900 W Loop 571,,,Henderson,TX,75652,,(903)655-0880,,,58272,2,,,,,House Account,0,0,,,,Exempt,MTC,,
Branford Hall,,1 Summit Place,Attn: Nancy Maisonet,Branford,CT,6405,,(203)907-8303,,,33857,2,,,,,Alan,0,0,,,,,,,
Brett Barthel,545 Marriott Drive,Suite 200,P.O. Box 140995,Nashville,TN,37214,,,,,62893,2,,,,,National - House,0,0,11/26/2018,11/26/2018,,Exempt,OUT OF STATE,,
"Brian M. Furie, DMD, LLC",,515 Iron Bridge Rd # 5,,Freehold,NJ,7728,,(732)431-2212,,furieb3@gmail.com,60730,2,,,,,Christie,0,0,4/16/2018,12/11/2018,,Exempt,OUT OF STATE,,
Bridgeport Health Department,Attn: Jean Revere 3rd Floor,752 East Main Street,,Bridgeport,CT,6608,,(203)576-7474,,,7966,2,,(203)576-7473,,Jean Revere,Krista,0,0,6/2/2000,5/6/2019,,Exempt,,,
"Bridgeton Board of Education, Annex",Food Services Department,515 Bank Street,,Bridgeton,NJ,8302,,(856)392-6705,,storres-ernest@bridgeton.k12.nj.us,60178,2,,,,,National - House,0,0,1/25/2018,2/25/2018,,Exempt,OUT OF STATE,,
Bringham and Women's Hospital,Attn Allie Gianci,75 Francis Street,,Boston,MA,2115,,,,,68152,2,,,,,Krista,210,0,6/1/2020,6/1/2020,,Exempt,HOSPITAL,,
Brinks Tank Services,1256 Liberty Avenue,,,Hillside,NJ,7205,USA,(844)462-7465,(908)353-3107,info@brinksconsulting.com,51338,2,,,,Ron Brinks,Steve Baruch,3538.02,4549.71,8/29/2016,6/18/2021,,Exempt,OUT OF STATE,,
Broome County DOH,Attn: Kevin Sedor,225 Front Street,,Binghamton,NY,13905,,(607)778-2837,(607)778-3912,ksedor@co.broome.ny.us,35726,2,,,,Kevin Sedor,House Account,9375,0,7/28/2010,12/17/2020,,Exempt,FEDERAL,,
"Buckeye Partners, L.P.",1 Greenway Plaza,Suite 600,,Houston,TX,77046,,,,,62921,2,,,,,National - House,0,0,11/27/2018,11/27/2018,,Exempt,INTERNATIONAL,,
C and C Embroidery Creations,Donna Malouf-Collimore,5 Twin Oaks Court,,Jackson,NJ,8527,,(732)330-2114,,donna@ccecreations.com,66955,2,,,,,Krista,12241.02,9935.75,11/18/2019,2/12/2021,,Exempt,NJ CLOTHING EXEMPT,,
"C.A.T. Specialties, Inc",16214 Arrow Highway,,,Irwindale,CA,91706,,(626)966-8250,,Lynn@catspecialties.com,69713,2,,,,Lynn Alfaro,Krista,148.92,104.03,11/9/2020,1/26/2021,,,,CA Los Angeles,
Cafe Adulis,228 College St,,,New Haven,CT,,,,,,6793,1,,,,Gideon,,0,0,,,,,,,
Cafe George,300 George Street,,,New Haven,CT,,,(203)777-1414,,cafegeorge@hotmail.com,24562,2,,,,Paula,House Account,0,0,3/2/2006,3/6/2018,,,,,
Cafe Sol,Attn: Nicholas Santos,130 Texas Avenue,,Grand Junction,CO,81501,,(970)589-7045,,nick@cafesolgj.com,1596,3,,,,,,0,0,,,45117-2,Exempt,TX,,
California Resources Production Corp,"27200 Tourney Road, Suite 200",,,Santa Clarita,CA,91355,USA,(661)763-6480,,Steven.Salazar@crc.com,67990,2,,,,,Christie,71485,0,4/2/2020,5/29/2020,,,,CA Santa Clara CO.,
Cambridge Tool & Mfg. Co.,Attn: June Plummer,67 Falulker St,,Billerica,MA,1862,,,,,26007,2,,,,,,0,0,,,,,,,
"Campbell Signs & Apparel, LLC.",,47366 Y & O Road,,East Liverpool,OH,43920,,(330)386-4768,,holly@campbellsa.com,68393,2,,,,Holly Jackson,House Account,233.25,0,7/28/2020,7/28/2020,,Exempt,OUT OF STATE,,
Canada Dry,266 Reservoir Rd,,,Meriden,CT,6450,,(203)235-5751,,,37,3,,,,Dave Matterson,,0,0,,,,,,,
Caterpillar,Saiphon Jacque,1010 W Zedler Ln,,Mequon,WI,53012,,(262)643-4811,,saiphon.jacque@cat.com,41258,2,,,,,House Account,0,0,,,,Exempt,OOS,,
Center For Integrative Medicine,35 River Road,Attn: Christine Dunster,,Cos Cob,CT,6807,,,,,28551,2,,,,,,0,0,,,,,,,
Central Rivers Power,Attn: Steven Laroche,59 Ayers Island Rd,,Bristol,NH,3222,,,,,68070,2,,,,,Krista,0,0,,,,,,,
Chart House,100 South Water St.,,,New Haven,CT,6519,,(203)787-3466,,,2534,1,,(203)777-8274,,Jack Reed,,0,0,,,,,,,
Checkeredflag Catering,Attn:Bill Decker,,,,,,,(860)582-8002,,,13445,2,,,,,,0,0,,,,,,,
Cherokee Uniform Division,13576 Desmond Street,Ra#12360,,Pacocma,CA,91331,,,,,10196,2,,,,,House Account,0,0,,,,,,,
"Chevron Shipping Co, LLC",6101 Bollinger Canyon Rd 4115F,Attn: Srella Gonzales,Asst. US Manning Representative,San Ramon,CA,94583,,,,,30468,2,,,,,Alan,0,0,,,,,,,
Childrens Home,60 Hicksville Rd,,,Cromwell,CT,,,(203)632-9866,,,34,3,,,,,,0,0,,,,,,,
Christian Tabernacle Baptist,Sr & Jr Usher Board,425-449 Newhall Street,,Hamden,CT,6517,,(203)933-7421,,,5365,2,,,,,,0,0,,,,,,,
Christopoulos Design,195 Dewey Street,,,Bridgeport,CT,6605,,(203)576-1110,,,10150,2,,,,Nick,,0,0,,,,,,,
Church Of Saint Leo The Great,50 Hurleys Lane,,,Lincroft,NJ,7738,USA,(732)747-5466,(732)219-5181,joemanzi@stleothe great.com,48852,2,,,,Joseph Manzi,House Account,0,0,,,,Exempt,,,
City Of Leesburg,Chad Conklin,PO Box 490630,,Leesburg,FL,34749-0630,,(352)728-9786,,Chad.Conklin@leesburgflorida.gov,7438,1,,,,Chad Conklin,Krista,0,0,,,,Exempt,,,
City of New Haven Office Of Bldg Inspect,200 Orange Street,5th Floor,,New Haven,CT,6510,,(203)946-8045,,dpair@newhavenct.gov,62804,2,,,,,Krista,0,0,,,,Exempt,GOVT,,
"Clark Oil Company, Inc.",720 Station St.,,,Waynesboro,MS,39367,,(601)735-6151,,GARYP@CLARKOIL.COM,22071,2,,,,Gary Padilla,Christie,11090.86,5417.3,5/31/2005,5/17/2021,,,,,
"Clark Safety, Inc.",886 N. St. Rd. 135,Suite E,,Greenwood,IN,46142,,(317)884-1023,(317)885-7346,karen@clarksafety.net,68840,2,,,,Karen Clark,House Account,0,0,,,,Exempt,WILL PROVIDE,,
"Class Act Cleaning Service, LLC",2700 Berlin Turnpike,,,Berlin,CT,6037,,(860)828-8496,(860)829-5402,,38,3,,,,Scott,,0,0,,,,,,,
Codale Electric Supply,Attn: Accounts Payable,,P.O. Box  945650,Maitland,FL,32794-5650,,,,apinvoices@sonepar-us.com,69457,2,,,,,Krista,16576.35,780.5,10/14/2020,1/19/2021,,Exempt,,,
Colts Neck First Aid,PO Box 21,"Colts Neck, NJ 07722",,,,,,(732)535-2601,,sherman_05@yahoo.com,48343,2,,,,Vicki Sherman,National - House,1550.53,0,11/25/2014,5/21/2021,,Exempt,OUT OF STATE,,
Columbus House,Sandie  Norris,586 Ella Grosso Blvd,,New Haven,CT,6519,,(203)401-4400,,snorris@columbushouse.org,35425,2,,,,Sandy Norris X 130,House Account,467.03,136.91,6/14/2010,5/28/2021,,Exempt,E9145,,
Comcast Cablevision Middletown,19 Tuttle Place,,,Middletown,CT,6457,,,,,2197,2,See Billing Address In F4,,,,,0,0,,,,,,,
"Connecticut Coastal OB/GYN, P.C.",675 South Main Street,Unit A,,Cheshire,CT,6410,,(203)250-2125,,,9082,2,,,,Verna Verrone,House Account,1964.18,0,9/27/2000,9/9/2020,,,,,
Conrad New York,102 North End Ave,,,New York,NY,10082,,(646)769-4146,,Monete.Cockburn@conradhotels.com,57723,2,,,,Moneté Cockburn,Steve Baruch,0,0,,,,,,NYS New York City,
Conte's Restaurant,,,,,,,,(203)257-0480,,,22695,2,,,,Claudio,,0,0,,,,,,,
Country Carpenters,5 Webster Lane,,,Bolton,CT,6043,,(860)649-0822,,,2573,1,,(203)645-7678,,Roger Barrett,,0,0,,,,,,,
Coyotes Cafe,161 Church St,,,Burlington,VT,5401,,(802)865-3632,,,24,3,,,,,,0,0,,,,,,,
Crop Bistro & Bar,2537 Lorain Ave,,,Cleveland,OH,44113,,(216)696-2767,(216)619-2667,,47369,2,,,,Sarah Koski,House Account,0,0,,,,Exempt,OUT OF STATE,,
Ct Hand Center,Attn: Kristin Sajjad,59 Faire Harbor Place,,New London,CT,6320,,(917)251-0004,,rxkms@yahoo.com,59076,2,,,,,House Account,0,0,9/15/2017,10/15/2019,,,,,
CT Insurance Group,860 North Main Street,,,Wallingford,CT,6492,USA,(860)571-7084,(860)571-7410,suerichards@prudentialct.com,42785,2,,,,Sue Richards,,0,0,,,,,,,
"CT Sports Management Group, Inc.",975 Middle Street,Unit G,,Middletown,CT,6457,,,,patrick@csmg.org,48864,2,,,,Patrick Fisher,Steve Baruch,0,4452.65,5/25/2015,4/23/2021,,Exempt,E10341,,
Ct Works,Melissa Cordon,3580 Main Street,,Hartford,CT,6120,,(860)256-3863,,mcordon@ctwbs@ct.gov,36377,2,,,,,,0,0,,,,,,,
Custom Safety & Apparel Inc,156 Amherst Rd,,,South Hadley,MA,1075,,(413)237-3587,,safetymike58@aol.com,70016,2,,,,Michael Caron,House Account,283.2,720,12/18/2020,4/22/2021,,Exempt,453-142-188,,
D.E. Gemmill,85 N. Belmont St,,,York,PA,17403,,(717)747-1391,,,66310,2,,,,Corey Semerad,Christie,0,0,11/1/2019,11/1/2019,,Exempt,81-117839,,
Danbury Hospital Ems,24 Hospital Avenue,,,Danbury,CT,6810,,(203)797-7493,,,2499,1,,(203)830-2079,,Matt Sassavechia,,0,0,,,,Exempt,,,
DC&R Promos,P.O. Box 63321,,,Philadelphia,PA,19114,,(215)920-5619,,Zig@DCRPromos.com,68331,2,,,,JOHN ZEGLINSKI,Christie,377.25,0,6/26/2020,10/9/2020,,Exempt,,,
Deep Foods Inc,Attn: Shivani Desai,1090 Springfield Road,,Union,NJ,7083,,(908)810-7500,,DEEPARTWORK1@GMAIL.COM,44268,2,,,,SHIVANI DESAI,Steve Baruch,289.7,0,5/31/2013,6/22/2021,,Exempt,OUT OF STATE (NJ),,
Delaware Tire Center,616 S College Ave,,,Newark,DE,19713,,(302)275-1928,,gabrielleriddell3@gmail.com,61284,2,,,,Gabrielle Riddell,Christie,1492.46,0,7/18/2018,3/17/2020,,Exempt,OUT OF STATE,,
Dell EMC,4110a Lone Oak Rd,,,Nashville,TN,37215,,(512)897-9520,,bryan.coston@dell.com,60740,2,,,,Bryan Coston,Christie,0,0,4/9/2018,9/6/2018,,Exempt,OUT OF STATE,,
"Delta Utility Services, Inc.","10 Fila Way, Suite 200",,,Sparks,MD,21152,,(410)771-0881,,accountspayable@deltausinc.com,68106,2,,,,Casey Urban XT 109,Christie,31174.14,3259.73,4/29/2020,4/26/2021,,,,MD State - 6.00%,
